,episode,score,avg_score,epsilon
220,220,-53.519111920648015,-149.27096161910583,0.01
221,221,-225.08330660363885,-148.1125789629557,0.01
222,222,-17.068689511984633,-146.49502538512584,0.01
223,223,-96.98096887215422,-144.53466130855358,0.01
224,224,-268.57671826486006,-147.15458987127406,0.01
225,225,-343.36190085263314,-149.4387529668042,0.01
226,226,-218.57148642658828,-151.41094929672016,0.01
227,227,-315.1002608677519,-153.08209121109837,0.01
228,228,-392.2257343857649,-156.20857571799462,0.01
229,229,-421.26676169698186,-160.0008693330817,0.01
230,230,-282.1118799750442,-164.0438069882772,0.01
231,231,-408.8726377967569,-167.58925935838633,0.01
232,232,-355.80070972325655,-170.03428468590036,0.01
233,233,-305.84901974460024,-173.05430325690526,0.01
234,234,-364.6287335420049,-176.799139430159,0.01
235,235,-342.74817228028166,-175.42820945877807,0.01
236,236,-326.8133015026001,-175.99301180323096,0.01
237,237,-267.3604987313137,-176.99261375674317,0.01
238,238,-274.6420310453555,-178.21688157038847,0.01
239,239,-339.5032916700644,-180.88435403502834,0.01
240,240,255.13783216128965,-177.33704799889026,0.01
241,241,-234.4420710510054,-177.37382100601727,0.01
242,242,-352.9967403807524,-178.80618772953937,0.01
243,243,143.73522829227656,-175.42753362337254,0.01
244,244,-257.2541516254437,-175.6390173142243,0.01
245,245,-212.49958427545488,-179.77180102076755,0.01
246,246,-186.81579861745672,-180.0540613551884,0.01
247,247,-223.2516546344225,-181.97424318274483,0.01
248,248,-305.28245932299524,-184.3630211712743,0.01
249,249,-173.05757623017746,-185.9189134617391,0.01
250,250,-190.32243552760914,-186.0353420133819,0.01
251,251,-64.66341071995862,-184.45711095897704,0.01
252,252,-317.427425560182,-184.4801323292414,0.01
253,253,-247.00785303819714,-183.797730292985,0.01
254,254,-68.93183451362218,-182.94698375818228,0.01
255,255,-231.42550598876076,-183.62208738332455,0.01
256,256,-74.92017428796133,-182.60543237498842,0.01
257,257,-6.7761619951482,-180.72808599628218,0.01
258,258,-308.3388271111328,-181.4871128572914,0.01
259,259,177.77544692435615,-177.4088382352859,0.01
260,260,-373.2742327878324,-178.98784303677456,0.01
261,261,-37.08587603660443,-177.25203512208748,0.01
262,262,-236.35452909523337,-177.39273316395077,0.01
263,263,-44.06464644943941,-175.97000577986506,0.01
264,264,188.52453772312066,-172.059855059455,0.01
265,265,188.92695255049918,-166.95210778246633,0.01
266,266,-65.50061176228465,-165.61478377126318,0.01
267,267,-19.682885431664744,-162.8799256844065,0.01
268,268,0.9122508889043388,-160.515907786601,0.01
269,269,-250.16571826368886,-159.12775203079656,0.01
270,270,218.85294934721838,-154.22809178441753,0.01
